Gene,Synapse Status,Synapse Percentile,Cortex,Striatum,hiPSC,Fetal,SynGO,SynDB,SynSysNet
ALS2,yes,94.27,1,0,1,0,0,0,0
ALS2CL,Not a synapse gene,45.55,0,0,0,0,0,0,0
ALX1,Not a synapse gene,2.40,0,0,0,0,0,0,0
ALX4,Not a synapse gene,14.35,0,0,0,0,0,0,0
ALYREF,Not a synapse gene,79.27,0,1,1,1,0,0,0
AMACR,Not a synapse gene,7.00,0,0,0,0,0,0,0
AMBN,Not a synapse gene,23.35,0,0,0,0,0,0,0
AMBP,Not a synapse gene,19.07,0,0,0,0,0,0,0
AMD1,Not a synapse gene,47.55,0,0,0,0,0,0,0
AMDHD1,Not a synapse gene,12.44,0,0,0,0,0,0,0
AMER1,Not a synapse gene,54.39,0,0,0,0,0,0,0
AMER2,Not a synapse gene,58.02,0,1,1,1,0,0,0
AMER3,Not a synapse gene,50.57,0,0,0,0,0,0,0
AMFR,Not a synapse gene,80.11,0,0,0,0,0,0,0
AMIGO1,yes,91.12,0,0,0,0,0,0,0
AMIGO2,Not a synapse gene,32.37,0,0,0,0,0,0,0
AMMECR1,Not a synapse gene,43.07,0,0,0,0,0,0,0
AMN,Not a synapse gene,11.57,0,0,0,0,0,0,0
AMOTL1,Not a synapse gene,48.58,0,0,0,0,0,0,0
AMOTL2,Not a synapse gene,69.16,0,0,0,0,0,0,0
AMPD2,Not a synapse gene,76.90,0,0,1,0,0,1,0
AMPD3,Not a synapse gene,27.66,0,0,0,0,0,0,0
AMT,Not a synapse gene,70.16,0,0,0,0,0,0,0
ANAPC1,Not a synapse gene,33.41,0,0,1,0,0,0,0
ANAPC10,Not a synapse gene,39.46,0,0,0,0,0,0,0
ANAPC16,Not a synapse gene,10.99,0,0,0,0,0,0,0
ANAPC2,Not a synapse gene,54.68,0,0,0,0,0,0,0
ANAPC4,Not a synapse gene,41.89,0,0,0,0,0,0,0
ANAPC5,Not a synapse gene,64.39,0,0,0,0,0,0,0
ANAPC7,Not a synapse gene,36.16,0,0,1,0,0,0,0
ANGEL1,Not a synapse gene,72.47,0,0,0,0,0,0,0
ANGPT1,Not a synapse gene,15.61,0,0,0,0,0,0,0
ANGPT2,Not a synapse gene,15.74,0,0,0,0,0,0,0
ANK1,yes,92.62,1,1,0,0,0,1,0
ANK2,yes,99.92,1,1,1,1,0,1,1
ANKFY1,yes,88.01,0,0,1,1,0,1,0
ANKHD1,Not a synapse gene,74.90,0,0,1,0,0,0,0
ANKIB1,Not a synapse gene,1.10,0,0,1,1,0,0,0
ANKLE2,Not a synapse gene,62.80,1,0,1,0,0,0,0
ANKMY2,Not a synapse gene,61.07,0,0,1,0,0,0,0
ANKRA2,Not a synapse gene,47.10,0,0,0,0,0,0,0
ANKRD11,Not a synapse gene,80.63,0,0,0,0,0,0,0
ANKRD12,Not a synapse gene,50.79,0,0,1,0,0,0,0
ANKRD13A,Not a synapse gene,55.32,0,0,0,0,0,0,0
ANKRD13B,Not a synapse gene,51.37,0,0,1,0,0,0,0
ANKRD13C,Not a synapse gene,40.28,0,0,0,0,0,0,0
ANKRD13D,Not a synapse gene,57.29,1,0,0,0,0,0,0
ANKRD17,Not a synapse gene,58.69,1,0,0,0,0,0,0
ANKRD2,Not a synapse gene,30.12,0,0,0,0,0,0,0
ANKRD26,Not a synapse gene,79.50,0,0,0,0,0,0,0
ANKRD27,Not a synapse gene,57.39,0,0,0,0,0,0,0
ANKRD28,yes,90.05,0,0,1,0,0,0,0
ANKRD30A,Not a synapse gene,38.19,0,0,0,0,0,0,0
ANKRD49,Not a synapse gene,8.20,0,0,0,0,0,0,0
ANKRD50,Not a synapse gene,33.68,0,0,0,0,0,0,0
ANKRD53,Not a synapse gene,4.13,0,0,0,0,0,0,0
ANKRD54,Not a synapse gene,23.78,0,0,0,0,0,0,0
ANKRD6,Not a synapse gene,81.30,0,0,0,0,0,0,0
ANKS1A,yes,97.02,0,0,1,0,0,0,0
ANKS4B,Not a synapse gene,34.94,0,0,0,0,0,0,0
ANKS6,Not a synapse gene,33.11,0,0,0,0,0,0,0
ANKZF1,Not a synapse gene,22.76,0,0,0,0,0,0,0
ANLN,yes,99.11,1,1,0,0,0,0,0
ANO10,Not a synapse gene,20.76,0,0,0,0,0,0,0
ANO3,Not a synapse gene,69.63,0,0,0,0,0,0,0
ANO5,Not a synapse gene,73.58,0,0,0,0,0,0,0
ANO6,Not a synapse gene,45.31,0,0,0,0,0,0,0
ANO8,Not a synapse gene,49.09,1,0,1,0,0,0,0
ANP32A,Not a synapse gene,64.29,1,0,0,0,0,0,0
ANP32B,Not a synapse gene,69.11,0,0,0,0,0,0,0
ANP32E,Not a synapse gene,54.14,0,0,0,0,0,0,0
ANPEP,Not a synapse gene,11.49,0,0,0,0,0,0,0
ANTXR1,Not a synapse gene,70.90,0,0,0,0,0,0,0
ANTXR2,Not a synapse gene,56.68,0,0,0,0,0,0,0
ANXA11,Not a synapse gene,76.61,0,0,1,0,0,1,1
ANXA13,Not a synapse gene,10.46,0,0,0,0,0,0,0
ANXA2,yes,96.23,0,0,1,1,0,1,1
ANXA3,Not a synapse gene,30.83,0,0,1,0,0,1,0
ANXA4,Not a synapse gene,54.17,0,0,0,0,0,0,0
ANXA6,Not a synapse gene,77.19,1,0,1,1,0,1,1
ANXA7,yes,89.04,1,0,1,0,0,1,1
ANXA9,Not a synapse gene,15.03,0,0,0,0,0,0,0
AOC1,Not a synapse gene,11.08,0,0,0,0,0,0,0
AOC2,Not a synapse gene,20.67,0,0,0,0,0,0,0
AOC3,Not a synapse gene,27.17,0,0,0,0,0,0,0
AOX1,Not a synapse gene,81.15,0,0,1,0,0,0,0
AP1AR,Not a synapse gene,39.31,0,0,0,0,0,0,0
