genes,Synonym
CKAP2L,"['radmis', 'FLJ40629']"
ALDH8A1,['ALDH12']
GSDMB,"['GSDML', 'PRO2521']"
ANXA9,['ANX31']
ARMC10,"['SVH', 'MGC3195']"
ZNF593,['ZT86']
NCF4,"['SH3PXD4', 'p40phox']"
CPA2,[nan]
DBF4B,"['ASKL1', 'chifb', 'FLJ13087', 'DRF1', 'ZDBF1B']"
HBD,[nan]
IGFBP2,['IBP2']
CCNJ,"['FLJ10895', 'bA690P14.1']"
TNNC1,['TNNC']
WDR66,[]
ATP6V1E2,"['VMA4', 'MGC9341', 'ATP6E1', 'ATP6EL2', 'ATP6V1EL2']"
ZNF267,['HZF2']
GPR39,[nan]
MON1B,"['HSRG1', 'SAND2', 'KIAA0872']"
GIMAP4,"['FLJ11110', 'HIMAP4', 'IAN1', 'IMAP4']"
MAML1,"['Mam-1', 'KIAA0200']"
NUDT6,"['gfg', 'FGF-AS', 'FGF2AS', 'gfg-1']"
KEL,"['CD238', 'ECE3']"
MT1G,"['MT1', 'MT1K']"
CCZ1,"['CCZ1A', 'CGI-43', 'C7orf28A']"
HOXB3,"['HOX2', 'HOX2G']"
KRT76,"['KRT2B', 'HUMCYT2A', 'KRT2P']"
CYP4F12,[nan]
HEG1,"['KIAA1237', 'HEG']"
ZNF621,['FLJ45246']
HDC,[nan]
HBEGF,"['DTR', 'DTS', 'HEGFL']"
NARF,"['DKFZp434G0420', 'FLJ10067', 'IOP2']"
EDARADD,[nan]
ESCO1,"['EFO1', 'KIAA1911', 'ESO1']"
BAMBI,['NMA']
SYCP2,['SCP2']
REN,[nan]
AP5Z1,"['KIAA0415', 'SPG48', 'zeta']"
GUCY2C,"['GUC2C', 'STAR']"
SIX1,['DFNA23']
ZNF597,"['HIT-4', 'FLJ33071']"
NMBR,"['BRS1', 'BB1', 'BB1R']"
ZNF605,[nan]
KLHL25,"['FLJ12587', 'ENC2', 'ENC-2']"
MED6,['NY-REN-28']
KBTBD8,"['TA-KRP', 'KIAA1842']"
MYOZ3,"['FATZ-3', 'CS-3', 'CS3', 'FRP3']"
ERCC5,"['ERCM2', 'XPGC']"
SELP,"['GRMP', 'CD62', 'PADGEM', 'PSEL', 'CD62P', 'GMP140']"
ACSS1,"['MGC33843', 'ACAS2L', 'dJ568C11.3', 'AceCS2L']"
GFER,"['HPO2', 'HSS', 'HPO1', 'ERV1', 'HERV1', 'ALR']"
PARP14,"['ARTD8', 'KIAA1268', 'pART8']"
NSMCE1,['NSE1']
BHMT2,[nan]
MEF2B,['RSRFR2']
ABCA9,['EST640918']
STK36,"['KIAA1278', 'FU']"
PRSS50,"['TSP50', 'CT20']"
CITED2,['MRG1']
C1QTNF3,"['CTRP3', 'Cors-26', 'Cors', 'Corcs', '2310005P21Rik']"
CD3G,[nan]
TPST2,['TANGO13B']
CTCFL,"['dJ579F20.2', 'BORIS', 'CT27']"
SYCP1,"['HOM-TES-14', 'SCP1', 'CT8']"
GBP5,[nan]
CEACAM1,"['BGP', 'CD66a', 'BGP1']"
RNF38,[nan]
ZNF117,"['HPF9', 'H-plk']"
ZNF770,"['FLJ20582', 'PRO1914']"
TRAPPC5,"['MGC52424', 'TRS31']"
PIP5KL1,"['MGC46424', 'bA203J24.5']"
ZNF846,[nan]
ALX4,"['FPP', 'PFM2', 'KIAA1788', 'PFM']"
CD8A,['CD8']
NUDT4,"['HDCMB47P', 'KIAA0487', 'DIPP2', 'DIPP2alpha', 'DIPP2beta']"
GGT5,"['GGT-REL', 'GGTLA1']"
CENPK,"['CENP-K', 'FKSG14', 'SOLT']"
EXOC3L1,"['FLJ35587', 'FLJ35539', 'EXOC3L']"
PDE3B,['HcGIP1']
CDC42EP5,"['Borg3', 'CEP5']"
RFPL3,['RNF120']
MIOS,"['Sea4', 'MIO', 'FLJ20323', 'Yulink']"
TCTEX1D4,[]
PIK3R5,"['P101-PI3K', 'p101']"
TAF8,"['TBN', 'FLJ32821', 'TAF(II)43']"
EXOSC2,"['hRrp4p', 'Rrp4p', 'p7', 'RRP4']"
GRHL2,"['BOM', 'TFCP2L3', 'DFNA28', 'FLJ13782']"
ELP6,"['TMEM103', 'C3orf75', 'FLJ20211']"
STON1,"['stoned-b1', 'SBLF']"
TMEM126A,"['DKFZp586C1924', 'OPA7']"
RSPH3,"['RSP3', 'dJ111C20.1', 'RSHL2']"
PITX3,['ASMD']
ZNF710,"['FLJ00306', 'FLJ37393', 'DKFZp547K1113']"
GREM1,"['HMPS', 'DRM', 'CKTSF1B1', 'CRAC1', 'gremlin', 'DAND2']"
DYNC2LI1,"['D2LIC', 'LIC3', 'CGI-60', 'DKFZP564A033']"
MED11,"['MGC88387', 'HSPC296']"
CHMP4A,"['HSPC134', 'VPS32A', 'C14orf123']"
WHAMM,"['KIAA1971', 'WHDC1', 'WHAMM1']"
KIAA0556,[]
PRR5L,"['PROTOR-2', 'FLJ14213']"
DIABLO,"['SMAC', 'DFNA64', 'FLJ25049', 'FLJ10537', 'DIABLO-S']"
GCK,"['MODY2', 'HK4']"
PPCS,['FLJ11838']
CENPO,"['CENP-O', 'MGC11266']"
CALML5,['CLSP']
MAK,"['RP62', 'dJ417M14.2']"
FAM111A,"['KIAA1895', 'FLJ22794']"
AK8,"['C9orf98', 'FLJ32704']"
SMG8,"['FLJ10587', 'C17orf71', 'FLJ23205']"
C2CD3,['DKFZP586P0123']
SNAPC1,"['SNAP43', 'PTFgamma']"
CR1,"['KN', 'CD35']"
GTF2IRD2B,[nan]
AP2B1,"['CLAPB1', 'ADTB2']"
NPL,"['DHDPS1', 'C1orf13', 'NPL1']"
OSCP1,"['C1orf102', 'NOR1']"
SLC25A25,"['KIAA1896', 'PCSCL', 'MCSC']"
HEBP2,"['SOUL', 'C6orf34']"
JPH2,['JP-2']
SGCB,"['SGC', 'LGMD2E', 'A3b']"
BTG1,['APRO2']
SLC16A9,"['MCT9', 'FLJ43803', 'C10orf36']"
RMND1,"['bA351K16.3', 'FLJ20627', 'C6orf96', 'RMD1']"
CCNF,"['FBX1', 'FBXO1']"
NPRL3,"['HS-40', 'RMD11', 'CGTHBA', 'NPR3', 'C16orf35', 'MARE']"
BEND3,['KIAA1553']
GRTP1,"['FLJ22474', 'TBC1D6']"
FCGR2A,"['FcgammaRIIa', 'FCGR2A1', 'CDw32', 'IGFR2', 'FCG2', 'FCGR2', 'CD32A', 'Fc-gamma-RIIa', 'CD32']"
COX19,['MGC104475']
PRPF40B,['HYPC']
SIX4,['AREC3']
RIMBP3C,[nan]
IL18,"['IL-1g', 'IL1F4', 'IL-18', 'IGIF']"
RASEF,"['FLJ31614', 'TSG', 'RAB45']"
TGFBI,"['CSD1', 'CSD3', 'CDGG1', 'LCD1', 'CDB1', 'BIGH3', 'CSD2']"
ZFHX2,"['KIAA1056', 'KIAA1762', 'ZNF409', 'ZFH-5']"
SDE2,"['C1orf55', 'FLJ35382']"
ITPKC,"['IP3-3KC', 'IP3KC']"
PDE7A,['HCP1']
NTAN1,[nan]
CIART,"['CHRONO', 'C1orf51', 'BC017397']"
PITX2,"['IHG2', 'RIEG1', 'RS', 'IGDS', 'Brx1', 'Otlx2', 'RIEG', 'RGS', 'IRID2', 'ARP1']"
CAPN11,[nan]
PRELID1,"['PRELI', 'PX19', 'CGI-106']"
NME6,"['NM23-H6', 'IPIA-ALPHA']"
ZNF660,['FLJ36870']
GALNT3,"['HFTC', 'GalNAc-T3', 'HHS']"
SERPINB7,[nan]
TCF7,['TCF-1']
PCDH12,[nan]
SLC22A11,['OAT4']
NEK3,"['HSPK36', 'MGC29949']"
KCNK5,"['TASK-2', 'K2p5.1', 'TASK2']"
PIGB,[nan]
PARVG,[nan]
DCAF17,"['FLJ13096', 'C2orf37']"
SLC9C1,"['SLC9A10', 'NHE']"
RGS18,['RGS13']
NOTUM,[nan]
GBP3,['FLJ10961']
EPHX2,['ABHD20']
PMM2,"['CDG1a', 'PMI', 'CDG1', 'PMI1', 'CDGS']"
HSD17B2,"['SDR9C2', 'HSD17']"
EPB42,"['MGC116735', 'MGC116737', 'PA']"
SLC25A26,[nan]
TEX15,['CT42']
RAB41,[nan]
ARHGAP8,"['FLJ20185', 'BPGAP1']"
ZNF174,['ZSCAN8']
RPP38,[nan]
PARL,"['PRO2207', 'PSARL1', 'PSARL', 'RHBDS1']"
BPGM,[nan]
MTTP,"['MTP', 'ABL']"
TMEM11,"['PM1', 'PMI', 'C17orf35']"
UROC1,"['HMFN0320', 'FLJ31300']"
TTC12,"['FLJ13859', 'FLJ20535', 'TPARM']"
CENPH,[nan]
OCM,['OCM1']
ERCC4,"['RAD1', 'FANCQ', 'XPF']"
VEPH1,"['KIAA1692', 'FLJ12604']"
ADO,"['FLJ14547', 'C10orf22']"
PGLYRP1,"['PGRPS', 'TAG7', 'PGLYRP', 'TNFSF3L', 'PGRP', 'PGRP-S']"
LRRN4,"['C20orf75', 'dJ1056H1.1', 'NLRR4']"
FUT3,"['LE', 'CD174']"
GCSH,[nan]
RFX4,[nan]
SERPIND1,"['D22S673', 'HLS2', 'HC-II', 'HC2', 'HCF2']"
INO80D,['FLJ20309']
KRT73,"['KRT6IRS3', 'K6IRS3']"
ESPNL,['FLJ42568']
LDHAL6A,"['MGC23940', 'LDH6A']"
DNAJC14,"['DRIP78', 'LIP6', 'DNAJ', 'HDJ3', 'FLJ32792']"
CHMP4C,"['MGC22825', 'VPS32C', 'Shax3']"
PSMC3IP,"['Hop2', 'HUMGT198A', 'TBPIP', 'GT198']"
ALOX5AP,['FLAP']
HOXD4,"['HOX4', 'HOX4B']"
TNNI1,[nan]
TRIM4,['RNF87']
FOXA1,['HNF3A']
ZFAT,"['ZFAT1', 'KIAA1485', 'ZNF406']"
SLC16A14,"['MCT14', 'FLJ30794']"
NOA1,"['hAtNOS1', 'MTG3', 'MGC3232', 'hNOA1', 'C4orf14']"
CYP4F11,[nan]
DHFR,[nan]
UCKL1,"['FLJ20517', 'URKL1']"
SLC16A6,"['MCT7', 'MCT6']"
CTC1,"['AAF132', 'FLJ22170', 'C17orf68']"
CPB2,"['PCPB', 'TAFI', 'CPU']"
FOXD4L1,['FOXD5']
USP30,"['FLJ40511', 'MGC10702']"
DTX4,"['RNF155', 'KIAA0937']"
RMI2,"['MGC24665', 'BLAP18', 'C16orf75']"
EME1,"['MMS4L', 'SLX2A', 'FLJ31364']"
TOR2A,"['FLJ14771', 'TORP1']"
ZSCAN32,"['FLJ20417', 'ZNF434']"
NUBP1,"['NBP1', 'CIAO5', 'NBP35']"
SPATA5L1,"['MGC5347', 'FLJ12286']"
ZNF697,['MGC45731']
ABHD3,['LABH3']
F9,['FIX']
TLR7,[nan]
RGN,"['RC', 'SMP30']"
MARS2,"['SPAX3', 'mtMetRS']"
SLC31A2,"['CTR2', 'COPT2', 'hCTR2']"
ZNF563,['FLJ34797']
SALL3,['ZNF796']
FLVCR1,"['FLVCR', 'MFSD7B', 'SLC49A1', 'AXPC1', 'PCA']"
RBMX2,"['CGI-79', 'Snu17']"
MANF,"['ARMET', 'ARP']"
MAP3K19,"['RCK', 'YSK4', 'FLJ23074']"
EXOG,"['ENGL', 'ENGL-a', 'ENGL-b', 'ENDOGL2', 'ENDOGL1']"
CAPN6,"['CalpM', 'CAPNX', 'CANPX']"
CD86,"['CD28LG2', 'B7.2', 'B7-2']"
PCDHB3,['PCDH-BETA3']
TOX3,"['CAGF9', 'TNRC9']"
ACOT1,"['LACH2', 'ACH2', 'CTE-1']"
TNFRSF13C,"['CD268', 'BAFFR']"
SKA1,"['MGC10200', 'C18orf24']"
DCAF13,"['DKFZP564O0463', 'Gm83', 'Sof1', 'HSPC064', 'WDSOF1']"
ABCC6,"['EST349056', 'PXE', 'MLP1', 'MRP6', 'ARA', 'URG7']"
DCLRE1A,"['PSO2', 'SNM1', 'hSNM1', 'KIAA0086']"
PCDH18,"['PCDH68L', 'KIAA1562']"
TBX3,"['TBX3-ISO', 'UMS', 'XHL']"
OLR1,"['LOX-1', 'SCARE1', 'CLEC8A']"
HOPX,"['NECC1', 'SMAP31', 'OB1', 'LAGY', 'HOP']"
ZNF329,['FLJ12586']
SULT1B1,['ST1B2']
TBX5,['HOS']
SLC16A2,"['MCT7', 'XPCT', 'MCT8', 'AHDS', 'DXS128', 'MRX22']"
PRDM8,['KMT8D']
PGAM4,"['PGAM1', 'PGAM3', 'PGAM-B', 'dJ1000K24.1']"
CD300LF,"['IREM1', 'CLM1', 'IGSF13', 'NKIR', 'CD300f']"
POFUT2,"['KIAA0958', 'FUT13', 'C21orf80']"
HMGCS2,[nan]
CECR2,['KIAA1740']
NDST2,"['NST2', 'HSST2']"
SLC22A4,"['OCTN1', 'MGC34546', 'DFNB60']"
ZNF577,['MGC4400']
PCDHB14,['PCDH-BETA14']
IFNLR1,"['IL-28R1', 'CRF2/12', 'IL28RA', 'IFNLR']"
LHCGR,"['LHR', 'LCGR', 'ULG5', 'HHG', 'LGR2']"
PHEX,"['HYP', 'HPDR', 'PEX', 'XLH', 'HPDR1', 'HYP1']"
RCAN3,['DSCR1L2']
SLC10A1,['NTCP']
INIP,"['C9orf80', 'SOSS-C', 'MISE', 'hSSBIP1', 'HSPC043']"
AMDHD1,['MGC35366']
MINPP1,['MIPP']
IER5,[nan]
MAT1A,"['MATA1', 'SAMS', 'MAT', 'SAMS1']"
CEP41,"['FLJ22445', 'TSGA14', 'DKFZp762H1311', 'JBTS15']"
PLA2G3,['GIII-SPLA2']
DUSP11,['PIR1']
SPNS1,"['LAT', 'SLC63A1', 'HSpin1', 'PP2030', 'SPIN1', 'nrs', 'SPINL']"
PLEKHB1,"['PHRET1', 'PHR1', 'KPL1']"
LIMD2,['MGC10986']
CNGA1,"['CNCG', 'RCNC1', 'RP49', 'CNCG1', 'RCNCa', 'CNG1']"
ZBTB26,['ZNF481']
KLRD1,['CD94']
IL1RL1,"['T1', 'FIT-1', 'IL33R', 'ST2L', 'DER4', 'ST2', 'ST2V']"
RNF180,[nan]
SLC13A5,"['INDY', 'NACT']"
FOXD2,"['FREAC9', 'FKHL17']"
KLRG1,"['MAFA', 'MAFA-L', '2F1', 'CLEC15A']"
MLKL,['FLJ34389']
GSDMA,"['GSDM', 'FLJ39120', 'GSDM1']"
CPT2,"['CPTASE', 'CPT1']"
PAX1,[nan]
PAQR5,"['MPRG', 'FLJ20190']"
GCNT3,"['C2GnT2', 'C2/4GnT', 'C2GnT-M']"
MFHAS1,"['LRRC65', 'MASL1']"
ZNF233,['FLJ38032']
EPS8L3,"['FLJ21522', 'MGC16817']"
CYP4V2,['CYP4AH1']
EARS2,"['KIAA1970', 'MSE1', 'mtGlnRS']"
ACOX2,"['BRCACOX', 'THCCox', 'BRCOX']"
TTLL10,"['FLJ36119', 'TTLL5']"
RNF139,"['RCA1', 'TRC8', 'HRCA1']"
MRPL46,"['LIECG2', 'P2ECSL', 'C15orf4']"
F11,['FXI']
INMT,[nan]
MAML2,"['KIAA1819', 'MAM3']"
PRRG4,['TMG4']
HOXA10,"['HOX1', 'HOX1H']"
CHST13,['C4ST3']
ADPRH,['ARH1']
PLVAP,"['PV1', 'gp68', 'PV-1', 'FELS']"
MUC13,['DRCC1']
ABCA4,"['CORD3', 'ABCR', 'STGD', 'FFM', 'RP19', 'ARMD2', 'STGD1']"
ZC3H7A,"['ZC3HDC7', 'HSPC055', 'ZC3H7', 'FLJ20318']"
SPRR1A,[nan]
DPEP3,[nan]
ARF5,[nan]
PLEKHA4,['PEPP1']
HAO1,"['GOX', 'GOX1']"
ZNF780A,['ZNF780']
CYP2U1,"['SPG49', 'SPG56']"
ALKBH2,"['MGC90512', 'ABH2']"
GLB1L,['MGC10771']
MT1M,"['MT1K', 'MT1']"
SLC43A1,"['R00504', 'PB39', 'POV1']"
CPT1B,"['CPT1-M', 'M-CPT1']"
POGLUT1,"['C3orf9', 'MGC32995', 'MDS010', 'KDELCL1', '9630046K23Rik', 'MDSRP', 'hCLP46', 'KTELC1', 'Rumi']"
TTF1,[nan]
MX2,['MXB']
ZSCAN20,"['KOX29', 'ZNF360', 'ZNF31']"
TGM5,"['TGX', 'TGMX']"
TMC4,[nan]
SLC5A7,"['hCHT', 'CHT1']"
KLHL31,"['KBTBD1', 'BKLHD6', 'bA345L23.2']"
PIF1,"['FLJ22692', 'C15orf20']"
ASF1B,['FLJ10604']
POU2F3,"['Skn-1a', 'PLA-1', 'OCT11', 'Epoc-1']"
SPATA18,['FLJ32906']
BMF,['FLJ00065']
FLVCR2,"['FLJ20371', 'MFSD7C', 'CCT', 'SLC49A2', 'C14orf58']"
ZNF506,['DKFZp761G1812']
ZNF30,"['KOX28', 'DKFZp686N19164', 'FLJ20562']"
PGAM2,['PGAM-M']
CD1E,[nan]
OTP,[nan]
MPZL2,"['EVA', 'EVA1']"
ADAM28,"['MDC-Ls', 'MDC-Lm', 'eMDCII', 'ADAM23']"
IKZF4,"['ZNFN1A4', 'Eos']"
APOA5,"['RAP3', 'APOA-V']"
CYP2A6,"['CPA6', 'CYP2A', 'CYP2A3']"
CCRL2,"['HCR', 'CRAM-A', 'CKRX', 'ACKR5', 'CRAM-B']"
SAP30L,"['FLJ11526', 'NS4ATP2']"
URB2,"['NET10', 'KIAA0133', 'NPA2']"
CA1,['Car1']
CENPN,"['BM039', 'FLJ13607', 'FLJ22660', 'C16orf60']"
HNRNPCL1,['HNRPCL1']
SLC16A12,['MCT12']
AMN,['amnionless']
ICAM2,['CD102']
RAD54L,"['hRAD54', 'RAD54A', 'hHR54']"
TATDN2,['KIAA0218']
PDZD3,"['FLJ22756', 'IKEPP', 'PDZK2']"
ZNF808,[nan]
ALAS2,['ASB']
STEAP1,"['PRSS24', 'STEAP']"
KRT24,"['FLJ20261', 'MGC138169', 'MGC138173']"
ANPEP,"['PEPN', 'LAP1', 'p150', 'CD13', 'gp150']"
SIX6,"['OPTX2', 'Six9']"
ZNF711,"['MRX97', 'ZNF5', 'ZNF4', 'CMPX1', 'ZNF6', 'dJ75N13.1', 'MRX65', 'Zfp711']"
GSTM1,"['H-B', 'MU', 'GST1']"
AVPR1A,['AVPR1']
EPO,['EP']
ZBTB34,"['KIAA1993', 'ZNF918', 'MGC24652']"
SAP30,[nan]
SCAND1,"['SDP1', 'RAZ1']"
NSUN6,"['ARL5B-AS1', 'FLJ23743', 'NOPD1']"
DDX59,"['DKFZP564B1023', 'ZNHIT5']"
CD226,"['DNAM-1', 'PTA1', 'TLiSA1', 'DNAM1']"
NTF3,['NGF2']
NUDT10,"['DIPP3a', 'hDIPP3alpha']"
ECHDC2,['FLJ10948']
ZNF280D,"['ZNF634', 'FLJ20086', 'SUHW4']"
HOXD9,"['HOX4C', 'HOX4']"
CD69,['CLEC2C']
RSAD1,"['FLJ11164', 'HemW']"
ADH1A,['ADH1']
PRKACG,['PKACg']
TUBD1,"['TUBD', 'FLJ12709']"
SLC17A4,['KIAA2138']
CMC1,"['MGC61571', 'C3orf68']"
PSMA8,"['MGC26605', 'PSMA7L']"
ADHFE1,['FLJ32430']
ZNF517,[nan]
TNFRSF13B,"['IGAD2', 'CD267', 'TACI']"
HOXA5,"['HOX1C', 'HOX1']"
ONECUT1,"['HNF6', 'HNF6A', 'HNF-6']"
CYP27A1,"['CYP27', 'CTX', 'CP27']"
FAM89B,"['LRAP25', 'MTVR1']"
DNLZ,"['C9orf151', 'HEP', 'TIMM15', 'ZIM17', 'bA413M3.2', 'RP11-413M3.2']"
SEPSECS,"['SecS', 'SLA/LP', 'SLA', 'SLA-p35']"
COQ5,['MGC4767']
GLRX5,"['PR01238', 'C14orf87', 'GRX5']"
SLC24A1,"['CSNB1D', 'NCKX1', 'HsT17412', 'RODX', 'KIAA0702', 'NCKX']"
NR0B1,"['DSS', 'AHC', 'DAX1', 'AHCH']"
GRK7,['GPRK7']
MMACHC,"['cblC', 'DKFZP564I122']"
OAS2,[nan]
AOC1,"['ABP1', 'ABP', 'DAO']"
MED30,"['THRAP6', 'TRAP25']"
ZNF93,"['HPF34', 'FLJ12488', 'TF34', 'ZNF505']"
SOX15,"['SOX26', 'SOX20', 'SOX27']"
SLC13A2,['NaDC-1']
CGNL1,"['PCING', 'FLJ14957', 'JACOP', 'KIAA1749']"
CASP14,"['MGC119079', 'MGC119078', 'MICE']"
BAD,"['BCL2L8', 'BBC2']"
SLC44A3,"['CTL3', 'MGC45474']"
ANAPC16,"['bA570G20.3', 'C10orf104', 'CENP-27', 'APC16', 'FLJ33728']"
NPAT,"['p220', 'E14']"
ISL1,"['Isl-1', 'ISLET1']"
PRMT9,"['PRMT10', 'FLJ46629']"
CYP11A1,"['P450SCC', 'CYP11A']"
TBX21,"['T-bet', 'TBLYM']"
DCDC2B,[nan]
RMI1,"['FLJ12888', 'C9orf76', 'BLAP75']"
DET1,['FLJ10103']
TUT1,"['FLJ21850', 'TENT1', 'FLJ22347', 'PAPD2', 'TUTase', 'FLJ22267', 'RBM21']"
KIF27,['DKFZp434D0917']
UPP1,"['UDRPASE', 'UPASE', 'UP', 'UPP']"
CDKN3,"['CDI1', 'KAP']"
TAF1A,"['TAFI48', 'SL1']"
GPX2,['GSHPX-GI']
SLC6A20,"['IMINO', 'SIT1', 'XT3', 'Xtrp3']"
PCDHB5,"['PCDH-BETA5', 'DKFZp586B0217']"
DRC1,"['CILD21', 'C2orf39', 'MGC16372', 'FLJ32660', 'CCDC164']"
XIRP1,"['DKFZp451D042', 'Xin', 'CMYA1']"
SLC19A2,"['TRMA', 'THTR1']"
AFP,"['FETA', 'HPAFP']"
DBR1,[nan]
FCER1G,['FcepsilonRIgamma']
NPNT,"['POEM', 'EGFL6L']"
AKNA,['KIAA1968']
CHTF8,"['FLJ20400', 'CTF8']"
CENPM,"['CENP-M', 'C22orf18', 'Pane1', 'MGC861']"
ZBTB3,['FLJ23392']
ST6GALNAC2,"['ST6GalNAII', 'SIATL1', 'STHM', 'SIAT7B', 'SIAT7']"
ZNF143,"['pHZ-1', 'STAF', 'SBF']"
NUP210L,[nan]
SLC14A1,"['RACH1', 'JK', 'HsT1341', 'RACH2']"
ABCB4,"['GBD1', 'MDR3', 'PGY3', 'PFIC-3', 'MDR2']"
TP53TG5,"['CLG01', 'C20orf10', 'dJ453C12.5']"
VPS72,"['TCFL1', 'Swc2', 'YL-1', 'YL1']"
PCDHB7,['PCDH-BETA7']
NAA30,"['MAK3', 'FLJ35355', 'C14orf35', 'NAT12', 'Mak3p']"
DNASE2B,['DLAD']
TMEM41B,['KIAA0033']
UTY,"['KDM6AL', 'KDM6C']"
NPIPA1,"['NPIP', 'morpheus']"
DNAH17,"['DNAHL1', 'DNEL2', 'FLJ40457']"
ZNF85,"['HPF4', 'HTF1']"
TTLL9,"['C20orf125', 'dJ310O13.1']"
RPP40,"['RNASEP1', 'bA428J1.3']"
MED18,"['SRB5', 'p28b', 'FLJ20045']"
ARID3B,"['BDP', 'DRIL2']"
CLIC6,"['CLIC5', 'CLIC1L']"
TLR10,['CD290']
ACTR5,"['INO80M', 'Arp5', 'FLJ12785']"
PLCXD1,['FLJ11323']
RAD21L1,"['dJ545L17.2', 'RAD21L']"
FCRL3,"['SPAP2a', 'CD307c', 'SPAP2e', 'SPAP2', 'SPAP2c', 'SPAP2d', 'SPAP2b', 'IFGP3', 'IRTA3', 'FCRH3']"
KIF2B,[nan]
ANXA13,['ANX13']
MOG,"['BTNL11', 'BTN6']"
SLC38A4,"['ATA3', 'PAAT', 'NAT3']"
TOR1B,"['MGC4386', 'DQ1']"
EMX2,[nan]
TMEM50A,['SMP1']
UVSSA,['KIAA1530']
GLYAT,"['GAT', 'ACGNAT']"
GRM6,"['GPRC1F', 'CSNB1B', 'mGlu6', 'MGLUR6']"
UGT2B7,['UGT2B9']
LY75,"['DEC-205', 'CD205', 'CLEC13B']"
CLEC18C,"['MRCL3', 'MGC34761']"
SOHLH2,"['TEB1', 'bHLHe81', 'SPATA28', 'FLJ20449']"
ARID5B,"['MRF2', 'FLJ21150']"
ENOSF1,"['HSRTSBETA', 'TYMSAS', 'rTS', 'FUCD']"
LY6G6F,"['G6f', 'LY6G6D', 'C6orf21', 'NG32']"
NKX3-2,"['BAPX1', 'NKX3.2', 'NKX3B']"
TDRD6,"['CT41.2', 'NY-CO-45', 'SPATA36', 'bA446F17.4']"
JRKL,['HHMJG']
ZNF343,['MGC10715']
NLRP10,"['PAN5', 'CLR11.1', 'Pynod', 'NALP10', 'NOD8']"
GSTCD,['FLJ13273']
BEST3,"['MGC13168', 'VMD2L3', 'MGC40411']"
CLYBL,['CLB']
SDHAF2,"['FLJ20487', 'C11orf79', 'PGL2', 'SDH5']"
UTP14C,"['2700066J21Rik', 'KIAA0266']"
HKDC1,"['FLJ22761', 'FLJ37767']"
ZNF398,"['KIAA1339', 'P51', 'ZER6', 'P71']"
BEST1,"['RP50', 'BEST', 'BMD', 'VMD2']"
CNPY2,"['TMEM4', 'HP10390', 'ZSIG9']"
POLE3,"['CHRAC2', 'CHRAC17', 'p17', 'Ybl1', 'CHARAC17']"
ZCCHC9,"['DKFZp761J139', 'PPP1R41']"
ZNF212,['C2H2-150']
CA5A,"['CAVA', 'CA5', 'CAV']"
TRIM31,"['HCGI', 'HCG1', 'C6orf13', 'RNF']"
ZFYVE1,"['KIAA1589', 'PPP1R172', 'DFCP1', 'ZNFN2A1', 'TAFF1']"
LAYN,"['FLJ30977', 'FLJ31092']"
ZNF714,[nan]
GPNMB,"['NMB', 'HGFIN']"
FEZF1,['ZNF312B']
GPR84,['EX33']
SLC26A3,"['DRA', 'CLD']"
BPIFB3,"['C20orf185', 'LPLUNC3', 'dJ726C3.4', 'RYA3']"
SETMAR,['metnase']
FOXA2,['HNF3B']
CTU1,"['NCS6', 'MGC17332', 'ATPBD3']"
HAUS3,"['MGC4701', 'dgt3', 'C4orf15', 'IT1']"
CTAG2,"['LAGE-1a', 'LAGE-1b', 'CAMEL', 'CT6.2a', 'LAGE-1', 'MGC3803', 'MGC138724', 'ESO2', 'CT6.2b', 'LAGE1']"
ZNF777,['KIAA1285']
FOXN4,[nan]
ETV2,['ER71']
ZFP2,"['ZNF751', 'FLJ21628']"
ZSWIM7,['SWS1']
PCDHB8,"['PCDH-BETA8', 'PCDH3I']"
RNF25,"['AO7', 'FLJ13906']"
HVCN1,"['MGC15619', 'Hv1', 'VSOP']"
MYL1,"['MLC-1', 'MLC3F', 'MLC1', 'MLC1F', 'MLC1/3']"
ABCB5,"['ABCB5beta', 'EST422562', 'ABCB5alpha']"
MYCBPAP,"['DKFZp434N1415', 'AMAP-1']"
FCRL4,"['FCRH4', 'CD307d', 'IRTA1', 'IGFP2']"
LGR6,['FLJ14471']
NXF3,[nan]
MCOLN2,"['FLJ36691', 'TRP-ML2', 'TRPML2']"
FOXI1,"['FREAC6', 'FKHL10']"
GCSAM,"['HGAL', 'MGC40441', 'GCET2']"
ZNF628,"['Zfp628', 'ZEC']"
ALOX12,['12S-LOX']
PLIN4,"['KIAA1881', 'S3-12']"
TTC21A,"['STI2', 'IFT139A']"
HMX3,['NKX5-1']
MAGEA10,"['CT1.10', 'MAGE10', 'MGC10599']"
TMPRSS11E,"['TMPRSS11E2', 'DESC1']"
ZMAT1,['KIAA1789']
TSPAN1,"['TSPAN-1', 'NET-1']"
ZNF32,"['Zfp637', 'ZNF637', 'KOX30']"
DRAM2,"['PRO180', 'RP5-1180E21.1', 'WWFQ154', 'TMEM77', 'MGC54289']"
TBX15,['TBX14']
PDX1,"['IPF1', 'IDX-1', 'GSF', 'MODY4', 'IUF-1', 'STF-1', 'PDX-1']"
SLAMF7,"['CS1', 'CRACC', '19A', 'CD319']"
SFXN4,['SLC56A4']
ATOX1,['HAH1']
HOXA3,"['HOX1', 'HOX1E']"
PTPRCAP,"['CD45-AP', 'LPAP']"
