genes,Synonym
ANXA2,"['ANX2', 'ANX2L4', 'LIP2', 'LPC2D', 'CAL1H']"
HSPD1,"['GroEL', 'HSP60', 'SPG13']"
CA11,"['CARP2', 'CARPX1']"
TBK1,['NAK']
PRKAR1B,[nan]
SHC1,"['SHC', 'ShcA', 'p66']"
SLC1A2,"['EAAT2', 'GLT-1']"
HSPA9,"['HSPA9B', 'PBP74', 'mthsp75', 'mot-2', 'GRP75']"
NCK2,['NCKbeta']
HDAC1,"['HD1', 'KDAC1', 'GON-10', 'RPD3L1']"
PAX6,"['WAGR', 'D11S812E', 'AN2', 'AN1', 'AN']"
NCK1,"['NCK', 'NCKalpha']"
KCNIP4,"['CALP', 'MGC44947', 'KCHIP4']"
GAPDH,['GAPD']
KPNB1,"['MGC2157', 'Impnb', 'IPOB', 'MGC2156', 'NTF97', 'MGC2155', 'IMB1', 'IPO1']"
BAIAP2,"['WAML', 'IRSp53', 'BAP2']"
CDH18,"['EY-CADHERIN', 'CDH14']"
UNC13A,"['Munc13-1', 'KIAA1032']"
STK4,"['KRS2', 'YSK3', 'MST1']"
POLR2B,['RPB2']
ARFGEF1,"['ARFGEP1', 'DKFZP434L057', 'p200', 'BIG1']"
CEP170,"['KIAA0470', 'KAB', 'FAM68A']"
MEOX2,"['GAX', 'MOX2']"
MID1,"['OS', 'FXY', 'TRIM18', 'RNF59']"
AHSA1,"['p38', 'hAha1', 'C14orf3', 'Aha1']"
AGAP2,['CENTG1']
DOCK3,"['PBP', 'KIAA0299', 'MOCA']"
STX7,[nan]
APLP2,"['APPL2', 'APPH']"
RAI14,"['DKFZp564G013', 'KIAA1334', 'NORPEG', 'RAI13']"
UNK,"['ZC3HDC5', 'KIAA1753', 'ZC3H5']"
MCM5,['CDC46']
HSD17B4,"['MFE-2', 'DBP', 'SDR8C1']"
CBLB,"['Cbl-b', 'RNF56']"
TUBA1C,"['MGC14580', 'TUBA6', 'bcm948', 'MGC10851']"
SGTB,"['Sgt2', 'FLJ39002']"
EPB41L2,"['4.1-G', '4.1G']"
SDCBP,"['MDA-9', 'SYCL']"
CCDC88A,"['GRDN', 'APE', 'HkRP1', 'FLJ10392', 'KIAA1212', 'GIV']"
DGKG,['DAGK3']
SIRT7,[nan]
KMT2A,"['HRX', 'MLL', 'CXXC7', 'HTRX1', 'TRX1', 'HTRX', 'ALL1', 'ALL-1', 'MLL1A', 'MLL1']"
UBQLN2,"['N4BP4', 'Dsk2', 'LIC-2', 'CHAP1/DSK2', 'PLIC-2', 'PLIC2', 'Chap1', 'RIHFB2157']"
HSD17B10,"['MRPP2', '17b-HSD10', 'SDR5C1', 'MHBD', 'CAMR', 'ERAB', 'MRXS10', 'ABAD', 'HADH2']"
IFI16,"['PYHIN2', 'IFNGIP1']"
EHMT1,"['GLP', 'Eu-HMTase1', 'KIAA1876', 'EHMT1-IT1', 'KMT1D', 'bA188C12.1', 'FLJ40292', 'FLJ12879']"
BRINP1,"['DBCCR1', 'DBC1', 'FAM5A']"
DST,"['FLJ13425', 'CATX-15', 'MACF2', 'BPA', 'BP240', 'KIAA0728', 'FLJ32235', 'BPAG1', 'FLJ21489', 'FLJ30627']"
